ensembl_gene_id	miRNA_ID	MI
HCST	hsa-mir-654	0.102386
ZNF490	hsa-mir-32	0.102159
ARL2	hsa-mir-16-2	0.102099
TMEM63B	hsa-mir-3614	0.102073
PPP4R2	hsa-mir-191	0.10195
TSR1	hsa-mir-1296	0.101627
STIL	hsa-mir-542	0.101625
DICER1	hsa-mir-19b-1	0.101422
PABIR1	hsa-mir-32	0.101331
GAL3ST1	hsa-mir-20a	0.101303
EXOSC6	hsa-mir-140	0.100958
KCNJ2	hsa-mir-632	0.100954
CACNA1D	hsa-mir-10a	0.100942
UQCC2	hsa-mir-19a	0.100827
SAMD1	hsa-mir-4470	0.100779
DAP3	hsa-mir-5010	0.100686
AKNAD1	hsa-mir-130b	0.100653
KIAA0753	hsa-mir-324	0.100571
PRDX1	hsa-mir-186	0.100522
ALPL	hsa-mir-34b	0.100492
CDKN1A	hsa-mir-34a	0.100471
ACTR8	hsa-let-7g	0.100446
HNRNPA0	hsa-mir-340	0.100445
ARFIP2	hsa-mir-210	0.100365
BAP1	hsa-let-7g	0.100355
EXOSC1	hsa-mir-1307	0.10028
CPSF4	hsa-mir-93	0.100276
JAK1	hsa-mir-101-1	0.100269
BABAM2	hsa-mir-191	0.100254
ARPC1A	hsa-mir-25	0.100214
NF1	hsa-mir-193a	0.100164
C12orf4	hsa-mir-450b	0.100147
C15orf65	hsa-mir-29b-1	0.100081
ADAMTS19	hsa-mir-196b	0.100033
CETN2	hsa-mir-505	0.100021
CCT8	hsa-mir-5008	0.0999906
TMX2	hsa-mir-9-2	0.0998934
DBN1	hsa-mir-183	0.0998912
CCDC80	hsa-mir-616	0.0998868
TLR2	hsa-mir-6514	0.0998679
CHM	hsa-mir-3152	0.0998495
PI4K2A	hsa-mir-1307	0.0998337
FRS3	hsa-mir-4326	0.0997901
NAPSA	hsa-mir-301b	0.09979
MAP3K3	hsa-mir-26a-1	0.0997346
LAIR1	hsa-mir-223	0.0995796
MAGOH	hsa-mir-22	0.0995711
TRAIP	hsa-mir-4699	0.0995393
PGRMC2	hsa-mir-4435-1	0.0995088
NOS1AP	hsa-mir-556	0.0994922
ZC3H12C	hsa-mir-654	0.0994499
WDR75	hsa-mir-3140	0.0994303
TGFBR3	hsa-mir-4715	0.0993252
DHX9	hsa-mir-9-1	0.0993194
AAMDC	hsa-mir-210	0.0992919
DLX6	hsa-mir-4419b	0.0992753
ATP11C	hsa-mir-505	0.0992223
PM20D1	hsa-mir-3176	0.0992214
LEP	hsa-mir-181a-1	0.0992022
LAMA5	hsa-mir-100	0.0991921
EIF3A	hsa-mir-1307	0.099156
RPS27A	hsa-mir-203a	0.099126
MRPL43	hsa-mir-1307	0.0990787
DCLRE1B	hsa-mir-197	0.0989488
NUP188	hsa-mir-32	0.0989272
COX10	hsa-mir-324	0.0988317
GPANK1	hsa-mir-4420	0.0987761
CACNA1I	hsa-mir-136	0.0986489
COPS6	hsa-let-7a-2	0.0985859
TRIM66	hsa-mir-103a-2	0.0985216
COPS6	hsa-let-7a-3	0.0984494
KCNJ16	hsa-mir-632	0.098443
C16orf72	hsa-mir-30a	0.0983975
TRAPPC6B	hsa-mir-320d-1	0.0983899
AIF1	hsa-mir-223	0.0983502
HDAC7	hsa-mir-331	0.0983404
ZC3H12C	hsa-mir-874	0.098325
SH3D21	hsa-mir-3934	0.0982403
ELP1	hsa-mir-32	0.0982225
CC2D2B	hsa-mir-30c-2	0.0981447
LILRB3	hsa-mir-223	0.0981365
THBS2	hsa-mir-3173	0.0981061
IFI44L	hsa-mir-200c	0.0980956
PYROXD2	hsa-mir-1287	0.0980849
MAP2K4	hsa-mir-744	0.0980202
MFSD14B	hsa-mir-32	0.0979762
SZT2	hsa-mir-186	0.09797
ETFBKMT	hsa-mir-181d	0.0978609
SLC18A2	hsa-mir-551b	0.0978589
FAM174C	hsa-mir-203a	0.0978051
ZSCAN25	hsa-mir-25	0.0977995
IGDCC4	hsa-mir-3680-2	0.0977634
GLRX3	hsa-mir-1307	0.0976807
CDK3	hsa-mir-2277	0.0976608
TMEM14B	hsa-mir-4660	0.0976592
CHRDL1	hsa-mir-181a-1	0.0976205
CDK2AP2	hsa-mir-194-2	0.0975822
OIP5	hsa-let-7i	0.0975561
C19orf38	hsa-mir-193a	0.0975333
IQCA1	hsa-mir-136	0.0975135
ITCH	hsa-mir-708	0.09748
TNP1	hsa-mir-3682	0.0974513
ADGRD1	hsa-mir-6718	0.0974073
VDR	hsa-mir-1910	0.0973885
NRBP2	hsa-mir-151a	0.0973678
ZNF536	hsa-mir-30e	0.0973194
USP11	hsa-mir-126	0.0972752
NOL8	hsa-let-7d	0.0972484
UBAP1L	hsa-mir-4419b	0.0972212
SRPK3	hsa-mir-193b	0.0971869
FRMD5	hsa-mir-708	0.0971622
GNAI3	hsa-mir-197	0.0971199
