ensembl_gene_id	miRNA_ID	MI
DMP1	hsa-mir-103a-1	0.211719
NSRP1	hsa-mir-423	0.211638
ZNF19	hsa-mir-125b-1	0.211566
NXPH2	hsa-mir-632	0.211517
TEAD3	hsa-mir-1185-1	0.211383
RCBTB1	hsa-mir-4733	0.211328
AKAP14	hsa-mir-93	0.211165
DNAJC19	hsa-mir-28	0.210977
THEG	hsa-mir-6877	0.210846
LRRC53	hsa-mir-654	0.210633
RHOU	hsa-mir-3170	0.210364
PYCARD	hsa-mir-378a	0.210125
MAPK7	hsa-mir-576	0.210092
CCDC141	hsa-mir-338	0.210034
TSPAN3	hsa-mir-4793	0.2099
ZSCAN18	hsa-mir-4701	0.20985
GPR35	hsa-mir-192	0.209768
WASF2	hsa-mir-188	0.209749
CEACAM19	hsa-mir-5581	0.209525
LRRC32	hsa-mir-4677	0.209121
TUBB4A	hsa-mir-339	0.208966
MTMR14	hsa-mir-6882	0.208936
IFT80	hsa-mir-625	0.208931
CCNJ	hsa-mir-656	0.208915
OPRD1	hsa-mir-132	0.208816
PRR15L	hsa-mir-152	0.208648
TUFM	hsa-mir-518b	0.208634
BPIFB2	hsa-mir-3605	0.208616
PHLDA3	hsa-mir-548o-2	0.208581
SEC16A	hsa-mir-3934	0.208547
DUSP7	hsa-mir-1537	0.208314
PIWIL4	hsa-mir-148b	0.208287
ROPN1L	hsa-mir-93	0.208216
ALOX5	hsa-mir-744	0.208203
DNALI1	hsa-mir-10a	0.208082
MOSPD3	hsa-mir-25	0.20807
PNPO	hsa-mir-152	0.207929
PGM3	hsa-mir-3934	0.207846
MT-ND3	hsa-mir-4435-1	0.207811
KLHL9	hsa-mir-6737	0.20777
CACNA1F	hsa-mir-26b	0.207701
TMEM232	hsa-mir-4714	0.207648
RNF222	hsa-mir-6510	0.207624
MCIDAS	hsa-mir-320b-2	0.207566
THTPA	hsa-mir-10a	0.207363
SNX11	hsa-mir-152	0.20735
ZNF691	hsa-mir-6741	0.20732
SCFD2	hsa-mir-598	0.2073
JOSD2	hsa-mir-196a-1	0.207248
RNF170	hsa-mir-369	0.207195
GNG8	hsa-mir-204	0.207108
DCBLD2	hsa-mir-1537	0.206978
DCN	hsa-mir-539	0.206846
ATG10	hsa-mir-345	0.206843
SERPINA12	hsa-mir-19b-1	0.206795
NAT16	hsa-mir-3920	0.206782
SETX	hsa-mir-34a	0.206607
OTUB1	hsa-mir-4723	0.206551
TRAPPC2	hsa-mir-5008	0.206519
