ensembl_gene_id	miRNA_ID	MI
NOP2	hsa-mir-200c	0.121728
SUPT6H	hsa-mir-423	0.121524
MAML1	hsa-mir-340	0.121488
CCDC97	hsa-mir-769	0.12148
MDH1B	hsa-mir-199a-2	0.121268
LPP	hsa-mir-28	0.120938
MDH1B	hsa-mir-199a-1	0.120795
ATP11C	hsa-mir-505	0.120764
OPA3	hsa-mir-769	0.120758
KLRC2	hsa-mir-126	0.120622
RABGGTB	hsa-mir-186	0.120579
MAPK15	hsa-mir-6824	0.120358
ZNF574	hsa-mir-769	0.120217
RPAP2	hsa-mir-186	0.120187
TENT5C	hsa-mir-148a	0.120149
PIP4K2B	hsa-mir-105-2	0.120145
WDR82	hsa-let-7g	0.120054
RAP1A	hsa-mir-197	0.120013
PDAP1	hsa-mir-106b	0.119811
MDH1B	hsa-mir-199b	0.119767
ZNF384	hsa-mir-141	0.119618
SULT1C4	hsa-mir-187	0.119361
ZNF3	hsa-mir-25	0.11922
CACNA2D4	hsa-mir-629	0.119201
TNFRSF1A	hsa-mir-141	0.119044
PTCD1	hsa-mir-93	0.119038
PLCD1	hsa-mir-193b	0.119015
KDELR1	hsa-mir-769	0.118903
TCEANC2	hsa-mir-2115	0.118884
RPL34	hsa-mir-576	0.118869
TPI1	hsa-mir-200c	0.118848
NUP62	hsa-mir-769	0.118829
EPHB4	hsa-mir-93	0.11857
TNFRSF17	hsa-mir-148a	0.118516
CCDC51	hsa-mir-191	0.118497
METTL5	hsa-mir-128-1	0.118363
XRCC1	hsa-mir-769	0.118304
RAB42	hsa-mir-153-1	0.118191
VASP	hsa-mir-769	0.118038
TLN2	hsa-mir-190a	0.117843
EIF5A	hsa-mir-324	0.117775
WDR33	hsa-mir-128-1	0.117551
GSTO2	hsa-let-7f-1	0.117514
GLMN	hsa-mir-197	0.117406
FOXM1	hsa-mir-200c	0.117402
SREBF2	hsa-mir-33a	0.117341
MEPCE	hsa-mir-25	0.117213
CCDC18	hsa-mir-26a-2	0.117149
CNNM4	hsa-mir-3127	0.116951
PPP5C	hsa-mir-769	0.116946
HYAL2	hsa-mir-191	0.116928
YPEL4	hsa-mir-130a	0.116893
HOXA9	hsa-mir-146a	0.116832
GLMP	hsa-mir-659	0.116716
LMTK2	hsa-mir-106b	0.116645
RPAP2	hsa-mir-197	0.116643
DCP1B	hsa-mir-192	0.116442
CASZ1	hsa-mir-4444-1	0.116377
COLEC10	hsa-let-7c	0.116206
RNF149	hsa-mir-576	0.116172
PLSCR3	hsa-mir-324	0.116109
IL1A	hsa-mir-1915	0.116021
AZGP1	hsa-mir-92b	0.115972
TBC1D32	hsa-mir-4715	0.115955
SH3GLB1	hsa-mir-197	0.115854
ANTXR2	hsa-mir-576	0.115833
ATP5MK	hsa-mir-1307	0.11581
SNAP29	hsa-mir-185	0.115763
GNL1	hsa-mir-486-2	0.115508
CIBAR2	hsa-mir-148a	0.115417
C2CD4B	hsa-mir-144	0.115409
CACNG2	hsa-mir-641	0.115358
CAMK1D	hsa-mir-1307	0.115037
SLC12A2	hsa-mir-29a	0.114975
CRLF3	hsa-mir-423	0.114886
PDAP1	hsa-mir-93	0.114856
LPCAT3	hsa-mir-141	0.114755
SYMPK	hsa-mir-769	0.114719
MRPL3	hsa-mir-659	0.11468
CCDC18	hsa-mir-26a-1	0.11444
KIAA0753	hsa-mir-324	0.114433
KPNA3	hsa-mir-15a	0.114413
UBXN4	hsa-mir-128-2	0.114353
SLC4A8	hsa-mir-3622b	0.114041
ALKBH4	hsa-mir-93	0.113687
ZNF3	hsa-mir-93	0.113668
ERCC5	hsa-mir-28	0.113667
METTL8	hsa-mir-128-1	0.113664
HOXA3	hsa-mir-196b	0.113622
SREBF1	hsa-mir-548v	0.113489
ADAMDEC1	hsa-mir-6826	0.113466
CDC37L1	hsa-mir-4758	0.113441
KCNJ2	hsa-mir-141	0.113422
TPP2	hsa-mir-92a-1	0.113281
NF1	hsa-mir-423	0.113267
PKDCC	hsa-mir-500b	0.113159
SGK2	hsa-mir-199a-1	0.112795
JSRP1	hsa-mir-148a	0.112758
IRF2BP1	hsa-mir-769	0.112606
MYSM1	hsa-mir-186	0.112588
TMEM214	hsa-mir-2355	0.11251
CDC27	hsa-mir-3615	0.112338
ZZZ3	hsa-mir-186	0.112322
PDAP1	hsa-mir-25	0.112314
BCL2L12	hsa-mir-769	0.112281
NUGGC	hsa-mir-148a	0.112263
CD164	hsa-mir-181c	0.112156
FOCAD	hsa-mir-491	0.112138
PSMD11	hsa-mir-423	0.112097
AP4M1	hsa-mir-93	0.11206
ZKSCAN5	hsa-mir-106b	0.111969
KCNJ10	hsa-mir-4661	0.111878
RHNO1	hsa-mir-141	0.111858
POP7	hsa-mir-106b	0.111775
QRICH1	hsa-mir-191	0.111748
ZNF577	hsa-let-7e	0.111692
APLF	hsa-mir-18b	0.111448
ZSCAN21	hsa-mir-106b	0.111437
AJAP1	hsa-mir-449a	0.111393
SAPCD2	hsa-mir-600	0.111333
TNFRSF1A	hsa-mir-200c	0.111331
STRIP1	hsa-mir-197	0.111309
CKAP2	hsa-mir-600	0.111141
FAIM	hsa-mir-187	0.111078
WDR33	hsa-mir-128-2	0.111029
SEC23A	hsa-mir-200c	0.111021
METAP1	hsa-mir-576	0.110999
PCNX1	hsa-mir-221	0.11088
PCNX4	hsa-mir-149	0.110869
TRRAP	hsa-mir-106b	0.110728
GJB1	hsa-mir-3074	0.110687
OPA1	hsa-mir-34c	0.110616
MIER1	hsa-mir-186	0.110377
FAHD2A	hsa-mir-29b-2	0.110302
ULK4	hsa-mir-769	0.110233
CLCN5	hsa-mir-502	0.110188
SPCS1	hsa-let-7g	0.110172
DNAAF5	hsa-mir-339	0.110072
FAM207A	hsa-mir-4636	0.109874
EXO1	hsa-mir-4677	0.109784
ERCC3	hsa-mir-128-1	0.109739
TOMM22	hsa-mir-33a	0.109711
