ensembl_gene_id	miRNA_ID	MI
NEURL4	hsa-mir-324	0.0620707
SCO1	hsa-mir-744	0.0620542
EIF5A	hsa-mir-744	0.0619778
PELP1	hsa-mir-324	0.0619523
GPER1	hsa-mir-4793	0.0618485
SMIM32	hsa-mir-4793	0.0618213
HOXA3	hsa-mir-196b	0.0617811
CLCN5	hsa-mir-500a	0.0616483
MIEF2	hsa-mir-1180	0.061432
ELP6	hsa-mir-191	0.0614053
MTSS1	hsa-mir-4662a	0.0613661
TVP23B	hsa-mir-1180	0.0612318
ABCF2	hsa-mir-671	0.0611844
GNAI3	hsa-mir-197	0.0610566
CLUH	hsa-mir-324	0.0610019
SRR	hsa-mir-324	0.0606092
NF1	hsa-mir-423	0.0605893
RABEP1	hsa-mir-324	0.0604952
FAM114A1	hsa-mir-574	0.0603324
METTL16	hsa-mir-324	0.0603177
ACADVL	hsa-mir-324	0.0603063
ZNF680	hsa-mir-590	0.0602915
C1orf194	hsa-mir-5004	0.0602645
NOS1AP	hsa-mir-556	0.0602163
PRTN3	hsa-mir-6865	0.0600843
RNASEK	hsa-mir-324	0.0599947
CYP27A1	hsa-mir-130a	0.0599273
PSMB6	hsa-mir-744	0.0598637
ULK2	hsa-mir-1180	0.0596842
VAC14	hsa-mir-328	0.0596604
SMC4	hsa-mir-16-1	0.0595947
GGNBP2	hsa-mir-423	0.0595622
PAFAH1B1	hsa-mir-22	0.0595441
SMPD3	hsa-mir-4793	0.0595341
TMUB2	hsa-mir-423	0.059443
SMCR8	hsa-mir-1180	0.0594044
GNB2	hsa-mir-93	0.0593858
MYO5C	hsa-mir-1266	0.0593753
TOP3A	hsa-mir-1180	0.059311
COL27A1	hsa-mir-455	0.0592195
LAMTOR5	hsa-mir-197	0.0592087
WDR38	hsa-mir-5004	0.0591744
COQ9	hsa-mir-328	0.0591733
STXBP3	hsa-mir-197	0.0591498
SPAG7	hsa-mir-744	0.0590663
MEGF10	hsa-mir-135b	0.0590621
FABP4	hsa-mir-4715	0.059054
ZFP36L1	hsa-mir-4419b	0.059052
ERAL1	hsa-mir-423	0.0587273
CTDSP1	hsa-mir-26b	0.0586684
SRR	hsa-mir-744	0.0586481
COASY	hsa-mir-423	0.0585691
UNC79	hsa-mir-4793	0.0585625
DHODH	hsa-mir-328	0.0584835
PHB2	hsa-mir-141	0.0583793
TCAIM	hsa-mir-191	0.0583195
ZBTB4	hsa-mir-324	0.0583192
HGFAC	hsa-mir-744	0.0583088
STAT3	hsa-mir-423	0.0582078
CLUH	hsa-mir-744	0.0581778
ALKBH5	hsa-mir-1180	0.0581386
THBS1	hsa-mir-185	0.0581317
DNAJC11	hsa-mir-3622b	0.0580934
USP19	hsa-mir-191	0.0580431
MEST	hsa-mir-335	0.0579385
NBR1	hsa-mir-423	0.0578781
COG4	hsa-mir-328	0.0576589
FAM222A	hsa-mir-4724	0.057657
NPRL2	hsa-mir-191	0.0576128
BORCS6	hsa-mir-324	0.0574278
ANKRD13C	hsa-mir-186	0.0574063
CCDC43	hsa-mir-423	0.0573843
